,id,Statement,Image,Web,Category,Date,Label,clean,clean_joined
12265,35044,Yediyurappa gets a stick against Karnataka BJP dissidents as Amit Shah gives him ï¿½free handï¿½,https://static.theprint.in/wp-content/uploads/2021/01/20210116091L-2-324x235.jpg,THEPRINT,POLITICS,Jan-21,TRUE,"['yediyurappa', 'gets', 'stick', 'karnataka', 'bjp', 'dissidents', 'amit', 'shah', 'gives', '½free', 'handï']",yediyurappa gets stick karnataka bjp dissidents amit shah gives ½free handï
41243,54640,Did No. Of Child Rape Cases in India Increase 82% From 2015 To 2016?.Fact Check: Viral WHO warning of Nipah virus outbreak in India is two years old,https://englishtribuneimages.blob.core.windows.net/gallary-content/2020/11/Desk/2020_11$smallthumbimg_888262842.jpg,AUGMENT,VIOLENCE,,Fake,"['child', 'rape', 'cases', 'india', 'increase', 'fact', 'check', 'viral', 'warning', 'nipah', 'virus', 'outbreak', 'india', 'years', 'old']",child rape cases india increase fact check viral warning nipah virus outbreak india years old
48280,1672,"Assam crosses 10,000 active Covid-19 cases",https://www.thestatesman.com/wp-content/uploads/2020/08/CORONA-1.jpg,THESTATESMAN,COVID-19,Aug-20,TRUE,"['assam', 'crosses', 'active', 'covid', 'cases']",assam crosses active covid cases
28038,29418,"Jammu & Kashmir needs fresh polls, says BJP slamming PDP-Congress-NC alliance",https://static.theprint.in/wp-content/uploads/2018/06/2018_6img19_Jun_2018_PTI6_19_2018_000085B-324x235.jpg,THEPRINT,ELECTION,Jun-18,TRUE,"['jammu', 'kashmir', 'needs', 'fresh', 'polls', 'says', 'bjp', 'slamming', 'pdp', 'congress', 'alliance']",jammu kashmir needs fresh polls says bjp slamming pdp congress alliance
33030,13709,Rajnath to visit Russia for Victory Day Parade,https://cmsimages.tribuneindia.com/gallary_content/2020/6/Desk/2020_6$smallthumbimg_1100630176.jpg,TRIBUNEINDIA,POLITICS,Jun-20,TRUE,"['rajnath', 'visit', 'russia', 'victory', 'day', 'parade']",rajnath visit russia victory day parade
11590,53542,Crocodile Spotted During Bihar Floods? Video From Gujarat Shared As...,https://englishtribuneimages.blob.core.windows.net/gallary-content/2020/10/2020_10$smallthumbimg_1227772392.jpg,AUGMENT,VIOLENCE,,Fake,"['crocodile', 'spotted', 'bihar', 'floods', 'video', 'gujarat', 'shared']",crocodile spotted bihar floods video gujarat shared
32083,46372,"Skeleton of Ghatotkach? No, itÕs a gigantic sculpture by an Italian artist", https://cdn.cnn.com/cnnnext/dam/assets/191203114009-everest-waterless-toilet-super-tease.jpg,AUGMENT,MISLEADING,,Fake,"['skeleton', 'ghatotkach', 'itõs', 'gigantic', 'sculpture', 'italian', 'artist']",skeleton ghatotkach itõs gigantic sculpture italian artist
22357,9241,India overtakes Brazil to record highest number of Covid recoveries in world: Johns Hopkins data,https://cmsimages.tribuneindia.com/gallary_content/2020/9/2020_9$smallthumbimg_2038048596.jpeg,TRIBUNEINDIA,COVID-19,Sep-20,TRUE,"['india', 'overtakes', 'brazil', 'record', 'highest', 'number', 'covid', 'recoveries', 'world', 'johns', 'hopkins', 'data']",india overtakes brazil record highest number covid recoveries world johns hopkins data
4944,48568,Was Nehru thrashed by a mob in 1962 after âfailure on China warâ?, https://cmsimages.tribuneindia.com/gallary_content/2020/8/2020_8$smallthumbimg_2068814669.jpg,AUGMENT,COVID-19,,Fake,"['nehru', 'thrashed', 'mob', 'failure', 'china', 'warâ']",nehru thrashed mob failure china warâ
1552,22035,Brother of sedition accused JNU student Sharjeel Imam detained in Bihar,https://www.thestatesman.com/wp-content/uploads/2020/01/Sharjeel.jpg,THESTATESMAN,VIOLENCE,Jan-20,TRUE,"['brother', 'sedition', 'accused', 'jnu', 'student', 'sharjeel', 'imam', 'detained', 'bihar']",brother sedition accused jnu student sharjeel imam detained bihar
30949,19464,Suvendu AdhikariÕs brother Dibyendu Adhikari invited to PM ModiÕs event in Haldia,https://www.thestatesman.com/wp-content/uploads/2020/12/PicsArt_12-23-12.44.36-e1608707847863.jpg,THESTATESMAN,ELECTION,Dec-20,TRUE,"['suvendu', 'adhikariõs', 'brother', 'dibyendu', 'adhikari', 'invited', 'modiõs', 'event', 'haldia']",suvendu adhikariõs brother dibyendu adhikari invited modiõs event haldia
38595,7399,Operation ÔSamudra SetuÕ: INS Jalashwa brings back 687 Indians stranded in Iran,https://www.thestatesman.com/wp-content/uploads/2020/07/ins-4.jpg,THESTATEMAN,POLITICS,Jul-20,TRUE,"['operation', 'ôsamudra', 'setuõ', 'ins', 'jalashwa', 'brings', 'indians', 'stranded', 'iran']",operation ôsamudra setuõ ins jalashwa brings indians stranded iran
19096,56297,Fact Check: Conspiracy theory claims Covid-19 vaccine caused new strain in UK,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202101/Vaccination_AFP_2-170x96.jpeg?NxHAgvo.qTVtVLF2A77S24nWlne5gfCt,INDIATODAY,VIOLENCE,Jan-21,Fake,"['fact', 'check', 'conspiracy', 'theory', 'claims', 'covid', 'vaccine', 'caused', 'new', 'strain']",fact check conspiracy theory claims covid vaccine caused new strain
27923,53269,Fact Check: Misleading claim on controversial FRDI Bill goes viral with old video.Fact Check: Photo of Dalit activist goes viral with misleading claim,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202011/Video-170x96.png?7_2aeC2fc3vl8gkzVN7Mr8rSjOAFwpb4,AUGMENT,MISLEADING,,Fake,"['fact', 'check', 'misleading', 'claim', 'controversial', 'frdi', 'goes', 'viral', 'old', 'video', 'fact', 'check', 'photo', 'dalit', 'activist', 'goes', 'viral', 'misleading', 'claim']",fact check misleading claim controversial frdi goes viral old video fact check photo dalit activist goes viral misleading claim
10875,48809,Video Of Yediyurappa-Lingayat Seer's Public Spat Falsely Linked To CAA, https://static.theprint.in/wp-content/uploads/2021/01/re-11-324x235.jpg,AUGMENT,MISLEADING,,Fake,"['video', 'yediyurappa', 'lingayat', 'seer', 'public', 'spat', 'falsely', 'linked', 'caa']",video yediyurappa lingayat seer public spat falsely linked caa
35144,23198,India-US Ô2+2Õ dialogue in Washington in December,https://www.thestatesman.com/wp-content/uploads/2019/11/QT-India-US-2-2-dialogue.jpg,THESTATESMAN,POLITICS,Nov-19,TRUE,"['india', 'dialogue', 'washington', 'december']",india dialogue washington december
42685,27959,Opposition slams Modi govt after Lok Sabha passes amendment to RTI Act,https://static.theprint.in/wp-content/uploads/2019/07/Jitendra-Singh-image-324x235.jpg,THEPRINT,ELECTION,Jul-19,TRUE,"['opposition', 'slams', 'modi', 'govt', 'lok', 'sabha', 'passes', 'amendment', 'rti', 'act']",opposition slams modi govt lok sabha passes amendment rti act
55176,15066,COVID-19 toll in Delhi rises to 231; 591 new cases,https://cmsimages.tribuneindia.com/gallary_content/2020/5/2020_5$smallthumbimg_1857919517.JPG,TRIBUNEINDIA,COVID-19,May-20,TRUE,"['covid', 'toll', 'delhi', 'rises', 'new', 'cases']",covid toll delhi rises new cases
36790,4501,"Nitish Kumar takes oath as Bihar CM for fourth straight term, RJD skips ceremony","https://images.indianexpress.com/2013/01/PTI16-11-2020_000103B.jpg?resize=450,250",INDIANEXPRESS,ELECTION,Jan-13,TRUE,"['nitish', 'kumar', 'takes', 'oath', 'bihar', 'fourth', 'straight', 'term', 'rjd', 'skips', 'ceremony']",nitish kumar takes oath bihar fourth straight term rjd skips ceremony
18350,39357,Why AAPâs Sandeep and Ashutosh Are Women Welfare Champions & Dalit Messiahs,https://d2c7ipcroan06u.cloudfront.net/wp-content/uploads/2018/12/Untitled-design-15-324x235.png,THEPRINT,MISLEADING,18-Dec,Fake,"['aapâ', 'sandeep', 'ashutosh', 'women', 'welfare', 'champions', 'dalit', 'messiahs']",aapâ sandeep ashutosh women welfare champions dalit messiahs
42543,7350,Congress leader Priyanka Gandhi demands CBI probe after Vikas DubeyÕs arrest,https://www.thestatesman.com/wp-content/uploads/2020/05/Priyanka.jpg,THESTATEMAN,VIOLENCE,May-20,TRUE,"['congress', 'leader', 'priyanka', 'gandhi', 'demands', 'cbi', 'probe', 'vikas', 'dubeyõs', 'arrest']",congress leader priyanka gandhi demands cbi probe vikas dubeyõs arrest
50647,31365,"US court dismisses $100 million lawsuit against PM Modi, Amit Shah",https://static.theprint.in/wp-content/uploads/2019/04/Modi-amit-shah-e1581409321579-324x235.jpeg,THEPRINT,POLITICS,Apr-19,TRUE,"['court', 'dismisses', 'million', 'lawsuit', 'modi', 'amit', 'shah']",court dismisses million lawsuit modi amit shah
55769,32600,BJPs ally RLP breaks ties with party over farm laws,https://www.thestatesman.com/wp-content/uploads/2020/12/QT-RLP.jpg,THESTATEMAN,ELECTION,Dec-20,TRUE,"['bjp', 'ally', 'rlp', 'breaks', 'ties', 'party', 'farm', 'laws']",bjp ally rlp breaks ties party farm laws
20208,25385,"A 6-year-old girl is the youngest person to die of Covid-19 in Florida, state says",https://cdn.cnn.com/cnnnext/dam/assets/200821154032-01-tampa-coronavirus-gloves-0625-super-tease.jpg,CNN,GOVERNMENT,Aug-20,TRUE,"['year', 'old', 'girl', 'youngest', 'person', 'die', 'covid', 'florida', 'state', 'says']",year old girl youngest person die covid florida state says
44895,30148,"Govt increases rural infrastructure development fund to Rs 40,000 crore in FY22",https://static.theprint.in/wp-content/uploads/2020/07/vashi-3-324x235.jpg,THEPRINT,COVID-19,Jul-20,TRUE,"['govt', 'increases', 'rural', 'infrastructure', 'development', 'fund', 'crore']",govt increases rural infrastructure development fund crore
38565,54279,The truth about a viral post about a Muslim woman and....The Truth Behind A Viral Video Claiming A Man Was Jabbing School...,https://englishtribuneimages.blob.core.windows.net/gallary-content/2020/11/2020_11$smallthumbimg_1403986210.jpg,AUGMENT,VIOLENCE,,Fake,"['truth', 'viral', 'post', 'muslim', 'woman', 'truth', 'viral', 'video', 'claiming', 'man', 'jabbing', 'school']",truth viral post muslim woman truth viral video claiming man jabbing school
44314,14152,COVID-19: Number of recoveries in India exceed active cases for first time,https://cmsimages.tribuneindia.com/gallary_content/2020/6/2020_6$smallthumbimg_2120406974.JPG,TRIBUNEINDIA,COVID-19,Jun-20,TRUE,"['covid', 'number', 'recoveries', 'india', 'exceed', 'active', 'cases', 'time']",covid number recoveries india exceed active cases time
29371,32361,"6.3 magnitude quake hits Tajikistan, India feels tremors",https://www.thestatesman.com/wp-content/uploads/2020/08/Earthqauke.jpg,THESTATEMAN,GOVERNMENT,Aug-20,TRUE,"['magnitude', 'quake', 'hits', 'tajikistan', 'india', 'feels', 'tremors']",magnitude quake hits tajikistan india feels tremors
16538,11801,"Delhi HC quizzes civic bodies, DDA on steps taken for buildings in need of seismic stability",https://cmsimages.tribuneindia.com/gallary_content/2020/7/2020_7$smallthumbimg_905417830.jpg,TRIBUNEINDIA,GOVERNMENT,Jul-20,TRUE,"['delhi', 'quizzes', 'civic', 'bodies', 'dda', 'steps', 'taken', 'buildings', 'need', 'seismic', 'stability']",delhi quizzes civic bodies dda steps taken buildings need seismic stability
3630,54290,"No, this video of an explosion is not from the Iranian....No, this is not footage of Cyclone Fani in the Bay of Bengal",https://englishtribuneimages.blob.core.windows.net/gallary-content/2021/2/2021_2$smallthumbimg_877728017.JPG,AUGMENT,VIOLENCE,,Fake,"['video', 'explosion', 'iranian', 'footage', 'cyclone', 'fani', 'bay', 'bengal']",video explosion iranian footage cyclone fani bay bengal
2831,2811,State Government transfers principals of Meerut and Saharanpur Medical colleges,https://www.thestatesman.com/wp-content/uploads/2020/05/adityanath.jpg,THESTATESMAN,GOVERNMENT,May-20,TRUE,"['state', 'government', 'transfers', 'principals', 'meerut', 'saharanpur', 'medical', 'colleges']",state government transfers principals meerut saharanpur medical colleges
30795,35865,"Pankaja Munde dares BJP at Beed show of strength, slams party but says wonï¿½t quit",https://static.theprint.in/wp-content/uploads/2019/12/Pankaja-324x235.jpg,THEPRINT,ELECTION,Dec-19,TRUE,"['pankaja', 'munde', 'dares', 'bjp', 'beed', 'strength', 'slams', 'party', 'says', 'wonï', 'quit']",pankaja munde dares bjp beed strength slams party says wonï quit
56348,5177,"Low Covid-19 fatality rates in countries with poor hygiene, low-quality water: study","https://images.indianexpress.com/2020/07/covid-testing-kerala-1.jpg?resize=450,250",INDIANEXPRESS,COVID-19,Jul-20,TRUE,"['low', 'covid', 'fatality', 'rates', 'countries', 'poor', 'hygiene', 'low', 'quality', 'water', 'study']",low covid fatality rates countries poor hygiene low quality water study
23099,47039,"ABVP JNU secretary denies masked woman in viral video associated with ABVP, visual evidence disagrees", https://akm-img-a-in.tosshub.com/indiatoday/images/story/202102/maharashtra_pti-170x96.jpeg?S4g6qYkky7KXlJNBwF8H0B5HQEzumn.m,AUGMENT,VIOLENCE,,Fake,"['abvp', 'jnu', 'secretary', 'denies', 'masked', 'woman', 'viral', 'video', 'associated', 'abvp', 'visual', 'evidence', 'disagrees']",abvp jnu secretary denies masked woman viral video associated abvp visual evidence disagrees
34524,19067,UP's COVID situation shows signs of improvement; Active cases come down,https://cmsimages.tribuneindia.com/gallary_content/2020/10/2020_10$smallthumbimg_1343981638.JPG,TRIBUNEINDIA,COVID-19,Oct-20,TRUE,"['covid', 'situation', 'shows', 'signs', 'improvement', 'active', 'cases', 'come']",covid situation shows signs improvement active cases come
16405,2974,"Ex-CBI director Ashwani Kumar, who was found hanging at Shimla residence, had led Aarushi Talwar murder probe","https://imgk.timesnownews.com/story/Ashwani_Kumar_1200.jpg?tr=w-100,h-75",TIMESNOW,VIOLENCE,Oct-20,TRUE,"['cbi', 'director', 'ashwani', 'kumar', 'hanging', 'shimla', 'residence', 'led', 'aarushi', 'talwar', 'murder', 'probe']",cbi director ashwani kumar hanging shimla residence led aarushi talwar murder probe
143,51736,"UP cops did resort to lathicharge, but not on unemployed youth....No, Police Did Not Lathicharge Congress Workers For Saying 'Pakistan...",https://newsmobile.in/wp-content/uploads/2020/12/fc5-1.jpg,AUGMENT,POLITICS,,Fake,"['cops', 'resort', 'lathicharge', 'unemployed', 'youth', 'police', 'lathicharge', 'congress', 'workers', 'saying', 'pakistan']",cops resort lathicharge unemployed youth police lathicharge congress workers saying pakistan
15577,49117,Bhutan Has Not Stopped Flow Of Irrigation Water To Assam.Fact Check: Has Bhutan deliberately blocked irrigation water to Indian farmers in Assam?, https://cmsimages.tribuneindia.com/gallary_content/2020/6/2020_6$smallthumbimg_1834858729.jpg,AUGMENT,COVID-19,,Fake,"['bhutan', 'stopped', 'flow', 'irrigation', 'water', 'assam', 'fact', 'check', 'bhutan', 'deliberately', 'blocked', 'irrigation', 'water', 'indian', 'farmers', 'assam']",bhutan stopped flow irrigation water assam fact check bhutan deliberately blocked irrigation water indian farmers assam
19071,44686,No! Rahul Gandhi is not reading a Kannad newspaper; heres the...,https://newsmobile.in/wp-content/uploads/2019/07/Untitled-design-3-1.png,NEWSMOBILE,ELECTION,19-Jul,Fake,"['rahul', 'gandhi', 'reading', 'kannad', 'newspaper']",rahul gandhi reading kannad newspaper
32745,4716,Reconsider decision to not ban firecrackers: Experts to Maharashtra CM,"https://images.indianexpress.com/2020/11/Uddhav-Thackeray-1.jpg?resize=450,250",INDIANEXPRESS,GOVERNMENT,Nov-20,TRUE,"['reconsider', 'decision', 'ban', 'firecrackers', 'experts', 'maharashtra']",reconsider decision ban firecrackers experts maharashtra
23456,36648,"India has emerged from the ï¿½fragile fiveï¿½ to become worldï¿½s fastest economy, says PM Modi",https://static.theprint.in/wp-content/uploads/2018/08/2018_8img10_Aug_2018_PTI8_10_2018_000021B-e1533889746433-324x235.jpg,THEPRINT,TRAD,Aug-18,TRUE,"['india', 'emerged', '½fragile', 'fiveï', 'worldï', 'fastest', 'economy', 'says', 'modi']",india emerged ½fragile fiveï worldï fastest economy says modi
20491,33117,"Indias COVID-19 tally crosses 9 lakh, death toll at 23,727; WHO chief warns leaders against shortcuts",https://www.thestatesman.com/wp-content/uploads/2020/07/k-2.jpg,THESTATEMAN,COVID-19,Jul-20,TRUE,"['india', 'covid', 'tally', 'crosses', 'lakh', 'death', 'toll', 'chief', 'warns', 'leaders', 'shortcuts']",india covid tally crosses lakh death toll chief warns leaders shortcuts
1376,3479,"Woman found dead in Lucknow copÕs house, he claims suicide","https://images.indianexpress.com/2020/12/express-photo-38-6.jpg?resize=450,250",INDIANEXPRESS,VIOLENCE,Dec-20,TRUE,"['woman', 'dead', 'lucknow', 'copõs', 'house', 'claims', 'suicide']",woman dead lucknow copõs house claims suicide
10729,55325,Media analysis: RSS-affiliated org reported as âMuslim womenâ supporting Ram Mandir in Ayodhya,https://www.thestatesman.com/wp-content/uploads/2019/11/Gandhi-1.jpg,AUGMENT,GOVERNMENT,,Fake,"['media', 'analysis', 'rss', 'affiliated', 'org', 'reported', 'muslim', 'womenâ', 'supporting', 'ram', 'mandir', 'ayodhya']",media analysis rss affiliated org reported muslim womenâ supporting ram mandir ayodhya
9435,19437,Bharat Ratna recipients Lata Mangeshkar and Sachin Tendulkar come out in support of Govt,https://www.thestatesman.com/wp-content/uploads/2021/02/QT-sachin-tendulkar-lata-mangeshkar.jpg,THESTATESMAN,POLITICS,Feb-21,TRUE,"['bharat', 'ratna', 'recipients', 'lata', 'mangeshkar', 'sachin', 'tendulkar', 'come', 'support', 'govt']",bharat ratna recipients lata mangeshkar sachin tendulkar come support govt
19873,48517,Video of a man mixing dirty water in âmilkâ is not from India, https://www.thestatesman.com/wp-content/uploads/2021/01/haridwar.jpg,AUGMENT,VIOLENCE,,Fake,"['video', 'man', 'mixing', 'dirty', 'water', 'milkâ', 'india']",video man mixing dirty water milkâ india
25491,7513,"PM Modi launches Garib Kalyan Rojgar Yojana for migrant workers, rural citizens",https://www.thestatesman.com/wp-content/uploads/2020/06/PMrojgar.jpg,THESTATEMAN,GOVERNMENT,Jun-20,TRUE,"['modi', 'launches', 'garib', 'kalyan', 'rojgar', 'yojana', 'migrant', 'workers', 'rural', 'citizens']",modi launches garib kalyan rojgar yojana migrant workers rural citizens
12452,44217,Fact Check: Did Boris Johnson Cancel His Republic Day Visit To...,https://newsmobile.in/wp-content/uploads/2021/01/HappyNew-Year-1.png,NEWSMOBILE,GOVERNMENT,21-Jan,Fake,"['fact', 'check', 'boris', 'johnson', 'cancel', 'republic', 'day', 'visit']",fact check boris johnson cancel republic day visit
34485,47623,"Rahul Gandhi: ÒThere Were No Pokemons To Catch, So I Slept In ParliamentÓ", https://static.theprint.in/wp-content/uploads/2020/09/Raghuvansh-324x235.jpg,AUGMENT,COVID-19,,Fake,"['rahul', 'gandhi', 'òthere', 'pokemons', 'catch', 'slept', 'parliamentó']",rahul gandhi òthere pokemons catch slept parliamentó
48400,985,"Û÷Black day, black decisionÛª: Mehbooba Mufti tweets message after her release",https://www.hindustantimes.com/rf/image_size_300x169/HT/p2/2020/10/14/Pictures/mehbooba-mufti_41933326-0dc8-11eb-a443-af1dcd0e50a3.jpg,INDUSTANTIMES,TERROR,Oct-20,TRUE,"['black', 'day', 'black', 'decision', 'mehbooba', 'mufti', 'tweets', 'message', 'release']",black day black decision mehbooba mufti tweets message release
40821,45249,Fact Check: This video of the ÔWaterfall of the BrideÕ is..., https://newsmobile.in/wp-content/uploads/2020/09/WhatsApp-Image-2020-09-11-at-12.41.35-AM.jpeg,AUGMENT,MISLEADING,,Fake,"['fact', 'check', 'video', 'ôwaterfall', 'brideõ']",fact check video ôwaterfall brideõ
13230,21025,"Hundreds stranded outside DelhiÕs AIIMS, Safdarjung Hospitals amid COVID-19 lockdown",https://www.thestatesman.com/wp-content/uploads/2020/04/AIIMS.jpg,THESTATESMAN,GOVERNMENT,Apr-20,TRUE,"['hundreds', 'stranded', 'outside', 'delhiõs', 'aiims', 'safdarjung', 'hospitals', 'amid', 'covid', 'lockdown']",hundreds stranded outside delhiõs aiims safdarjung hospitals amid covid lockdown
30015,40980,All Savings Under Section 80C To Be Taxed Too At Withdrawal- Govt.,https://teekhimirchi.in/wp-content/uploads/2016/03/Tax-Burden-on-middle-class-326x245.jpg,TEEKHIMIRCHI,MISLEADING,16-Mar,Fake,"['savings', 'section', 'taxed', 'withdrawal', 'govt']",savings section taxed withdrawal govt
20420,21318,ÔSteps we take now will help in times to come: PM Modi on ÔJanata CurfewÕ against Coronavirus,https://www.thestatesman.com/wp-content/uploads/2020/03/Modi-2-2.jpg,THESTATESMAN,POLITICS,Mar-20,TRUE,"['ôsteps', 'help', 'times', 'come', 'modi', 'ôjanata', 'curfewõ', 'coronavirus']",ôsteps help times come modi ôjanata curfewõ coronavirus
27151,36728,Ashok Gehlot emerges as frontrunner for Rajasthanï¿½s chief ministerial post,https://static.theprint.in/wp-content/uploads/2018/12/2018_12img11_Dec_2018_PTI12_11_2018_000224B-324x235.jpg,THEPRINT,TRAD,Dec-18,TRUE,"['ashok', 'gehlot', 'emerges', 'frontrunner', 'rajasthanï', 'chief', 'ministerial', 'post']",ashok gehlot emerges frontrunner rajasthanï chief ministerial post
32347,2064,Lord Krishna sent corona as both start with Û÷KÛª sound: Uttarakhand Congress leader makes controversial remark,https://www.thestatesman.com/wp-content/uploads/2020/06/congress.jpg,THESTATESMAN,POLITICS,Jun-20,TRUE,"['lord', 'krishna', 'sent', 'corona', 'start', 'sound', 'uttarakhand', 'congress', 'leader', 'makes', 'controversial', 'remark']",lord krishna sent corona start sound uttarakhand congress leader makes controversial remark
9261,45326,Fact Checked: PM Modi didnÕt wear footwear inside Guruvayur Temple in..., https://newsmobile.in/wp-content/uploads/2019/10/download-3-324x160.jpg,AUGMENT,GOVERNMENT,,Fake,"['fact', 'checked', 'modi', 'didnõt', 'wear', 'footwear', 'inside', 'guruvayur', 'temple']",fact checked modi didnõt wear footwear inside guruvayur temple
31875,44323,Fact Check: 2012 video of submerged railway bridge shared as a...,https://newsmobile.in/wp-content/uploads/2020/10/7.jpg,NEWSMOBILE,POLITICS,20-Oct,Fake,"['fact', 'check', 'video', 'submerged', 'railway', 'bridge', 'shared']",fact check video submerged railway bridge shared
15183,1325,COVID updates: India yet again breaches 78K-mark as tally crosses 37 lakh,https://www.thestatesman.com/wp-content/uploads/2020/09/QT-COVID-updates.jpg,THESTATESMAN,COVID-19,Sep-20,TRUE,"['covid', 'updates', 'india', 'breaches', 'mark', 'tally', 'crosses', 'lakh']",covid updates india breaches mark tally crosses lakh
19023,28251,"Chandrababu Naidu meets Rahul Gandhi, discusses possibility of anti-BJP front",https://static.theprint.in/wp-content/uploads/2019/02/fgd-324x235.jpg,THEPRINT,ELECTION,Feb-19,TRUE,"['chandrababu', 'naidu', 'meets', 'rahul', 'gandhi', 'discusses', 'possibility', 'anti', 'bjp']",chandrababu naidu meets rahul gandhi discusses possibility anti bjp
33467,34078,Boost your immune system to fight the spread of coronavirus,https://www.thestatesman.com/wp-content/uploads/2020/03/healthy.jpg,THESTATEMAN,COVID-19,Mar-20,TRUE,"['boost', 'immune', 'fight', 'spread', 'coronavirus']",boost immune fight spread coronavirus
203,1520,Police arrests two people in connection with Bulandshahr topperÛªs death case,https://www.thestatesman.com/wp-content/uploads/2020/08/sudeeksha.jpg,THESTATESMAN,VIOLENCE,Aug-20,TRUE,"['police', 'arrests', 'people', 'connection', 'bulandshahr', 'topper', 'ûªs', 'death', 'case']",police arrests people connection bulandshahr topper ûªs death case
16523,27951,3 reasons why Yeddyurappa worked hard to topple Karnatakas Congress-JD(S) govt,https://static.theprint.in/wp-content/uploads/2019/07/B.S.-Yeddyurappa-1-324x235.jpg,THEPRINT,ELECTION,Jul-19,TRUE,"['reasons', 'yeddyurappa', 'worked', 'hard', 'topple', 'karnataka', 'congress', 'govt']",reasons yeddyurappa worked hard topple karnataka congress govt
